game_slug,share_code,make,model,year,car_class,pi_rating,tune_type,drivetrain,track,creator_gamertag,title,description,source_url
fh5,111717616,Ford,Falcon XA GT-HO,1972,A,800,dirt,AWD,Earn a Crash Landing Skill,LogikJ,A Dirt +Aero,"AWD, 6.2L Chevrolet LS3 V8, Full Aero, Stock Rims, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,164457073,Dodge,Charger R/T,1969,A,800,road,AWD,Win a Street Race,Saeenu,Seasonal Road A,"AWD, 8.4L Dodge V10, Full Aero, Stock Rims, Rally Tires. Strong AWD,00:57.664 Estadio Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,542901246,Dodge,Charger R/T,1969,B,700,road,RWD,,K1Z Bala,Purist Stock Exh,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. RWD Purist Meta,01:09.234 Horizon Mexico Circuit.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,852765339,MINI,Cooper S,1965,B,700,dirt,AWD,Speed Zone (Dirt) - Tres Colinas (88mph/142kmh),LogikJ,B Dirt AWD,"AWD, 2.0L Honda VTEC i4, Widebody Kit, Full Aero, Stock Rims",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,134888717,Ford,Escort RS1800,1977,B,700,dirt,AWD,,Saeenu,Seasonal Dirt PR,"AWD, 3.2L BMW i6, Rear Aero, Stock Rims, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,172912535,Ford,GT70,1970,B,700,dirt,AWD,,LogikJ,AWD Dirt Sznonal,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,102979529,Volvo,242 Turbo Evolution,1983,B,700,dirt,AWD,,SlowBakedPanda,264 1.5 Rally V1,"AWD, 3.2L BMW i6, Rear Aero + Front Bullbar & Lights, Stock Rims, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,832582227,Abarth,Fiat 131,1980,B,700,dirt,AWD,Horizon Raptors (Dirt) - Easy G-Teasy,TheDannny,Abarth Rally V2,"AWD, 3.2L BMW i6, No Aero, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,268861759,Alpine,A110 1600s,1973,B,700,dirt,RWD,,K1Z Bala,Purist Dirt,"RWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Very Strong RWD Dirt,01:11.972 Teotihuacan Scramble.98.21mph Tres Colinas Speed Zone.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,143283427,Lancia,Stratos HF Stradale,1974,B,700,dirt,RWD,,NoObStEr9919,Gr.4 Grip V1.1,"RWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Strong RWD Dirt,01:14.527 San Juan Scramble.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,709536007,Volvo,242 Turbo Evolution,1983,B,700,dirt,RWD,,ESV Barcode,B-Class NA Dirt,"RWD, Stock Engine, Rally Fog Lights, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,107021429,Renault,8 Gordini,1967,B,700,dirt,RWD,,K1Z Suimin,Rally Purist,"RWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,128842083,Lancia,Fulvia Coupé Rallye 1.6 HF,1968,B,700,dirt,FWD,,KcnaXii,Purist Dirt,"FWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Good FWD Dirt,01:12.472 Teotihuacan Scramble.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,123605737,BMW,M3 (1991),1991,B,700,drift,RWD,"Drift Zone (Road) - Ice Cauldron (150,000 pts)",OxGRIDRUNR,RWD Drift,"RWD, 3.0L Toyota Racing 2JZ i6T w/ Anti-Lag Turbo, No Aero.225.8k pts Ice Cauldron Drift Zone.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,663896618,BMW,M3 (1991),1991,B,700,drift,AWD,,OxGRIDRUNR,AWD Drift,"AWD, 3.2L BMW i6, No Aero",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,730242258,Alfa Romeo,155 Q4,1992,B,700,cross_country,AWD,Hazard (Cross Country) - Hammering The Gas,LogikJ,B Dirt Purist,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Strong Dirt.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,938326226,Audi,RS 4 Avant (2001),2001,B,700,cross_country,AWD,,LogikJ,B Dirt Purist,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,108697395,Audi,RS 2 Avant,1995,B,700,cross_country,AWD,,LogikJ,B Dirt Purist,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,103836902,Volvo,850 R,1997,B,700,cross_country,AWD,,LogikJ,AWD Dirt,"AWD, Stock Engine w/ Anti-Lag Turbo, No Aero, Stock Rims, Offroad Race Tires. Good Dirt,01:12.922 Teotihuacan Scramble.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,427676861,Ford,Sierra Cosworth RS500,1987,B,700,cross_country,AWD,,LogikJ,PGG Seasonal,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,151438988,Volkswagen,Santana,2012,B,700,cross_country,FWD,,NoObSter9919,Foreign VW,"FWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,140784102,Volkswagen,Santana,2012,B,700,cross_country,FWD,,Mustuff124,B Rally,"FWD, 2.0L Honda VTEC i4, No Aero Aero, Stock Rims, Offroad Race Tires. Manual & Clutch Recommended. Strong FWD Dirt.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,689300903,Citroën,BX 4TC,1986,A,800,road,AWD,Seasonal Reward Car,JakeGTR9,Rotiform Drip,"AWD, Stock Engine w/ Anti-Lag Turbo, Full Aero, Rally Tires. Manual & Clutch Recommended. Good AWD,00:49.967 Lookout Circuit. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,111916716,Citroën,BX 4TC,1986,A,800,road,AWD,S34 Spring (Week 4),LogikJ,Road Purist,"AWD, Stock Engine w/ Anti-Lag Turbo, No Aero, Stock Rims, Rally Tires, Purist. Manual & Clutch Recommended. Feels decent-ish to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,246224079,Citroën,BX 4TC,1986,A,800,road,RWD,,Fenrir3268,Skull,"RWD, 3.0L Toyota Racing 2JZ i6T w/ Anti-Lag Turbo, Full Aero, Drift Tires, Dry Only. RWD Powerbuild. Challenging to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,426398216,Citroën,BX 4TC,1986,B,700,road,AWD,,LogikJ,Road Purist,"AWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Good AWD,01:04.450 Estadio Circuit. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,164148150,Citroën,BX 4TC,1986,A,800,dirt,AWD,,KapienPL,>>>> Logiks Tune,"AWD, Stock Engine w/ Anti-Lag Turbo, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Good Dirt,01:05.557 Teotihuacan Scramble. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,107461537,Citroën,BX 4TC,1986,A,800,dirt,AWD,,K1Z Jumpy,A Dirt,"AWD, Stock Engine w/ Anti-Lag Turbo, Full Aero, Stock Rims, Offroad Race Tires. Manual & Clutch Recommended. Good Dirt,01:10.420 River Scramble. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,562970110,Citroën,BX 4TC,1986,A,800,cross_country,AWD,,TucPeDo,CC V1.1,"AWD, 3.0L Toyota Racing 2JZ i6T, No Aero (Stock Wing Removed), Offroad Race Tires. Manual & Clutch Recommended. Good CC (Power). Feels fairly nice & fun to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,821002646,Citroën,BX 4TC,1986,B,700,dirt,AWD,,LogikJ,B Dirt Purist,"AWD, Stock Engine, No Aero, Stock Rims, Offroad Race Tires, Purist. Manual & Clutch Recommended. Good Dirt. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
